Clase,Color dominante,Forma,Piel/cáscara,Semillas/hueso,Jugosidad,Sabor dominante,Dulzor,Acidez,Textura,Aroma,Preparación típica,Consumo habitual,Plato frecuente,Temperatura de consumo,Parte comestible,Conservación,Vida útil,Estacionalidad,Sensibilidad al golpe,Facilidad de limpieza/pelado,Contenido de agua,Fibra,Grasas,Procesamiento,Piel comestible
Ahuyama,Café,Irregular,Gruesa,Sin,Media,Umami,Medio,Media,Harinoso,Bajo,Crudo,Acompañante,Ensalada,Ambiente,Tallo,Ambiente,Corta,Todo el año,Media,Alta,Medio,Alta,Bajas,Mínimo,Sí
Pepino,Verde,Irregular,Gruesa,Sin,Media,Umami,Bajo,Baja,Crujiente,Bajo,Crudo,Solo,Jugo,Frío,Hoja,Ambiente,Corta,Todo el año,Alta,Alta,Medio,Alta,Bajas,Mínimo,No
Pimentón,Café,Redondo,Fina,Sin,Media,Umami,Bajo,Media,Fibroso,Medio,Crudo,Solo,Ensalada,Frío,Hoja,Refrigerar,Corta,Todo el año,Media,Media,Medio,Alta,Bajas,Mínimo,Sí
Fríjol,Amarillo,Redondo,Fina,Semilla,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Lenteja,Verde,Redondo,Fina,Semilla,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Garbanzo,Café,Ovalado,Fina,Semilla,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Principal,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Arveja,Amarillo,Ovalado,Fina,Semilla,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Sopa,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Maíz,Verde,Alargado,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Arroz,Blanco,Alargado,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Sopa,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Avena,Blanco,Alargado,Fina,Semilla,Baja,Dulce,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Snack,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Trigo,Verde,Alargado,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Café,Blanco,Plano,Sin piel,Sin,Alta,Dulce,Alto,Baja,Jugoso,Bajo,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Chocolate,Blanco,Plano,Sin piel,Sin,Alta,Ácido,Medio,Media,Jugoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de naranja,Amarillo,Plano,Sin piel,Sin,Alta,Ácido,Medio,Baja,Jugoso,Medio,Ambos,Solo,Jugo,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de lulo,Café,Plano,Sin piel,Sin,Alta,Dulce,Bajo,Baja,Cremoso,Medio,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Jugo de mango,Verde,Plano,Sin piel,Sin,Alta,Umami,Bajo,Media,Jugoso,Alto,Ambos,Solo,Jugo,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Agua,Verde,Plano,Sin piel,Sin,Alta,Dulce,Medio,Media,Cremoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Té,Café,Plano,Sin piel,Sin,Alta,Umami,Bajo,Alta,Jugoso,Bajo,Ambos,Solo,Snack,Frío,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Leche,Verde,Plano,Sin piel,Sin,Alta,Ácido,Bajo,Alta,Cremoso,Alto,Ambos,Solo,Snack,Ambiente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Medio,Baja,Medias,Mínimo,No
Yogur,Café,Plano,Sin piel,Sin,Alta,Umami,Alto,Baja,Jugoso,Bajo,Ambos,Solo,Postre,Caliente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Medio,Baja,Altas,Alto,No
Queso,Amarillo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Alta,Cremoso,Bajo,Ambos,Solo,Snack,Ambiente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Huevo,Café,Plano,Sin piel,Sin,Baja,Umami,Alto,Media,Harinoso,Alto,Cocido,Acompañante,Ensalada,Ambiente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Arepa,Verde,Alargado,Sin piel,Sin,Baja,Dulce,Alto,Baja,Harinoso,Alto,Cocido,Solo,Principal,Ambiente,Pulpa,Refrigerar,Media,Todo el año,Media,Alta,Alto,Media,Bajas,Medio,No
Pan,Verde,Plano,Sin piel,Sin,Baja,Dulce,Alto,Baja,Fibroso,Medio,Cocido,Solo,Ensalada,Ambiente,Pulpa,Refrigerar,Media,Todo el año,Baja,Media,Alto,Media,Medias,Medio,No
Empanada,Café,Redondo,Sin piel,Sin,Baja,Umami,Bajo,Baja,Cremoso,Medio,Cocido,Solo,Ensalada,Caliente,Líquido,Ambiente,Media,Todo el año,Media,Alta,Alto,Media,Bajas,Alto,No
Sopa de verduras,Amarillo,Alargado,Sin piel,Sin,Baja,Umami,Bajo,Baja,Harinoso,Medio,Cocido,Acompañante,Sopa,Ambiente,Líquido,Refrigerar,Media,Todo el año,Baja,Media,Medio,Media,Bajas,Alto,No
Ensalada,Rojo,Irregular,Sin piel,Sin,Baja,Salado,Bajo,Baja,Crujiente,Bajo,Cocido,Solo,Snack,Caliente,Semilla,Ambiente,Media,Todo el año,Baja,Media,Medio,Baja,Bajas,Alto,No
Cereal,Amarillo,Alargado,Fina,Semilla,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Principal,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Miel,Amarillo,Irregular,Sin piel,Sin,Baja,Salado,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Postre,Caliente,Semilla,Refrigerar,Media,Todo el año,Baja,Media,Alto,Baja,Medias,Medio,No
Aceite,Amarillo,Plano,Sin piel,Sin,Baja,Umami,Alto,Baja,Harinoso,Alto,Cocido,Solo,Postre,Caliente,Semilla,Ambiente,Media,Todo el año,Media,Alta,Alto,Baja,Altas,Medio,No
Aguardiente sin azúcar,Verde,Plano,Sin piel,Sin,Alta,Dulce,Medio,Baja,Jugoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Uchuva,Morado,Redondo,Gruesa,Sin,Alta,Dulce,Medio,Alta,Fibroso,Alto,Crudo,En mezcla,Ensalada,Frío,Pulpa,Ambiente,Corta,Estacional,Alta,Alta,Alto,Alta,Bajas,Mínimo,No
Curuba,Morado,Ovalado,Gruesa,Sin,Media,Dulce,Bajo,Media,Fibroso,Alto,Crudo,Solo,Snack,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Media,Media,Alto,Alta,Bajas,Mínimo,No
Feijoa,Amarillo,Alargado,Gruesa,Hueso,Media,Ácido,Bajo,Alta,Harinoso,Alto,Crudo,Solo,Ensalada,Frío,Pulpa,Refrigerar,Corta,Todo el año,Media,Alta,Alto,Media,Bajas,Mínimo,No
Granadilla,Amarillo,Ovalado,Gruesa,Pequeñas,Media,Dulce,Medio,Baja,Fibroso,Alto,Crudo,En mezcla,Snack,Frío,Pulpa,Refrigerar,Corta,Todo el año,Media,Alta,Alto,Media,Bajas,Mínimo,Sí
Pitaya,Verde,Alargado,Gruesa,Pequeñas,Alta,Ácido,Alto,Baja,Harinoso,Medio,Crudo,En mezcla,Postre,Frío,Pulpa,Refrigerar,Corta,Todo el año,Alta,Media,Alto,Media,Bajas,Mínimo,No
Zapote,Morado,Ovalado,Fina,Muchas pequeñas,Media,Dulce,Bajo,Media,Fibroso,Alto,Crudo,Solo,Postre,Ambiente,Pulpa,Refrigerar,Corta,Todo el año,Alta,Alta,Alto,Media,Bajas,Mínimo,Sí
Níspero,Amarillo,Ovalado,Gruesa,Pequeñas,Media,Dulce,Medio,Alta,Harinoso,Medio,Crudo,Solo,Jugo,Ambiente,Pulpa,Ambiente,Corta,Todo el año,Media,Media,Alto,Media,Bajas,Mínimo,Sí
Carambolo,Verde,Alargado,Gruesa,Sin,Media,Dulce,Bajo,Media,Harinoso,Alto,Crudo,En mezcla,Snack,Frío,Pulpa,Ambiente,Corta,Estacional,Alta,Media,Alto,Alta,Bajas,Mínimo,Sí
Mamoncillo,Naranja,Redondo,Fina,Pequeñas,Alta,Ácido,Bajo,Media,Harinoso,Medio,Crudo,Solo,Postre,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Alta,Media,Alto,Media,Bajas,Mínimo,Sí
Guayaba agria,Morado,Alargado,Gruesa,Muchas pequeñas,Alta,Dulce,Medio,Media,Harinoso,Medio,Crudo,En mezcla,Jugo,Frío,Pulpa,Ambiente,Corta,Estacional,Alta,Media,Alto,Alta,Bajas,Mínimo,No
Ciruela,Morado,Ovalado,Gruesa,Pequeñas,Media,Ácido,Medio,Media,Fibroso,Alto,Crudo,Acompañante,Jugo,Ambiente,Pulpa,Ambiente,Corta,Todo el año,Media,Media,Alto,Media,Bajas,Mínimo,No
Durazno,Morado,Alargado,Fina,Pequeñas,Media,Ácido,Bajo,Baja,Harinoso,Medio,Crudo,Acompañante,Snack,Ambiente,Pulpa,Refrigerar,Corta,Todo el año,Alta,Media,Alto,Alta,Bajas,Mínimo,Sí
Albaricoque,Naranja,Ovalado,Gruesa,Muchas pequeñas,Alta,Ácido,Bajo,Media,Harinoso,Alto,Crudo,En mezcla,Jugo,Ambiente,Pulpa,Ambiente,Corta,Todo el año,Alta,Media,Alto,Alta,Bajas,Mínimo,No
Kiwi,Rojo,Redondo,Fina,Pequeñas,Alta,Dulce,Bajo,Alta,Jugoso,Alto,Crudo,Solo,Snack,Ambiente,Pulpa,Ambiente,Corta,Todo el año,Alta,Media,Alto,Alta,Bajas,Mínimo,Sí
Pera asiática,Amarillo,Alargado,Fina,Hueso,Alta,Ácido,Medio,Media,Fibroso,Medio,Crudo,Acompañante,Postre,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Alta,Media,Alto,Alta,Bajas,Mínimo,Sí
Higo,Verde,Ovalado,Gruesa,Muchas pequeñas,Media,Dulce,Medio,Media,Jugoso,Alto,Crudo,En mezcla,Snack,Ambiente,Pulpa,Ambiente,Corta,Todo el año,Alta,Alta,Alto,Media,Bajas,Mínimo,No
Tamarindo,Rojo,Redondo,Fina,Hueso,Alta,Dulce,Bajo,Baja,Jugoso,Alto,Crudo,Solo,Snack,Frío,Pulpa,Ambiente,Corta,Todo el año,Alta,Media,Alto,Alta,Bajas,Mínimo,No
Mamey,Morado,Redondo,Fina,Pequeñas,Media,Ácido,Alto,Media,Harinoso,Alto,Crudo,Solo,Snack,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Media,Media,Alto,Alta,Bajas,Mínimo,Sí
Caqui,Morado,Redondo,Gruesa,Pequeñas,Alta,Dulce,Bajo,Media,Harinoso,Medio,Crudo,Solo,Ensalada,Ambiente,Pulpa,Ambiente,Corta,Estacional,Alta,Alta,Alto,Media,Bajas,Mínimo,No
Mangostán,Verde,Alargado,Fina,Pequeñas,Media,Dulce,Bajo,Alta,Fibroso,Alto,Crudo,Solo,Postre,Frío,Pulpa,Ambiente,Corta,Estacional,Alta,Alta,Alto,Alta,Bajas,Mínimo,No
Espinaca,Blanco,Irregular,Gruesa,Sin,Baja,Umami,Bajo,Media,Harinoso,Medio,Crudo,En mezcla,Snack,Ambiente,Pulpa,Ambiente,Corta,Estacional,Media,Media,Medio,Alta,Bajas,Mínimo,No
Lechuga,Blanco,Irregular,Gruesa,Sin,Media,Dulce,Bajo,Baja,Harinoso,Bajo,Crudo,Acompañante,Postre,Frío,Tallo,Refrigerar,Corta,Estacional,Media,Alta,Medio,Alta,Bajas,Mínimo,No
Repollo,Verde,Redondo,Fina,Sin,Baja,Umami,Medio,Baja,Fibroso,Bajo,Crudo,Acompañante,Ensalada,Ambiente,Tallo,Refrigerar,Corta,Todo el año,Media,Media,Alto,Alta,Bajas,Mínimo,Sí
Brócoli,Café,Redondo,Gruesa,Sin,Media,Dulce,Bajo,Baja,Fibroso,Bajo,Crudo,Acompañante,Ensalada,Frío,Tallo,Ambiente,Corta,Todo el año,Alta,Alta,Alto,Alta,Bajas,Mínimo,Sí
Coliflor,Blanco,Alargado,Gruesa,Sin,Media,Dulce,Medio,Baja,Harinoso,Bajo,Crudo,Acompañante,Postre,Frío,Hoja,Refrigerar,Corta,Todo el año,Alta,Alta,Alto,Alta,Bajas,Mínimo,No
Ajo,Blanco,Redondo,Gruesa,Sin,Media,Dulce,Medio,Media,Fibroso,Bajo,Crudo,Acompañante,Jugo,Ambiente,Pulpa,Ambiente,Corta,Estacional,Media,Media,Alto,Alta,Bajas,Mínimo,Sí
Remolacha,Naranja,Redondo,Fina,Sin,Media,Dulce,Bajo,Baja,Crujiente,Medio,Crudo,Solo,Postre,Frío,Pulpa,Ambiente,Corta,Todo el año,Media,Alta,Medio,Alta,Bajas,Mínimo,Sí
Rábano,Blanco,Irregular,Fina,Sin,Baja,Dulce,Medio,Baja,Harinoso,Medio,Crudo,Acompañante,Postre,Frío,Tallo,Ambiente,Corta,Estacional,Alta,Alta,Alto,Alta,Bajas,Mínimo,No
Berenjena,Verde,Irregular,Fina,Sin,Media,Dulce,Bajo,Baja,Harinoso,Medio,Crudo,Solo,Ensalada,Frío,Tallo,Refrigerar,Corta,Estacional,Alta,Media,Medio,Alta,Bajas,Mínimo,Sí
Calabacín,Verde,Alargado,Gruesa,Sin,Baja,Umami,Bajo,Baja,Fibroso,Medio,Crudo,Acompañante,Postre,Ambiente,Tallo,Refrigerar,Corta,Todo el año,Alta,Alta,Medio,Alta,Bajas,Mínimo,No
Ñame,Blanco,Redondo,Fina,Sin,Baja,Dulce,Medio,Media,Harinoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Media,Media,Bajo,Media,Bajas,Medio,No
Malanga,Verde,Irregular,Gruesa,Sin,Baja,Umami,Medio,Baja,Harinoso,Bajo,Cocido,En mezcla,Snack,Caliente,Raíz,Ambiente,Larga,Todo el año,Media,Media,Bajo,Media,Bajas,Medio,No
Oca,Rojo,Alargado,Fina,Sin,Baja,Dulce,Medio,Media,Fibroso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Semilla,Ambiente,Larga,Todo el año,Media,Media,Bajo,Alta,Bajas,Medio,No
Camote morado,Blanco,Irregular,Fina,Sin,Media,Umami,Bajo,Media,Harinoso,Medio,Cocido,Acompañante,Principal,Caliente,Raíz,Ambiente,Larga,Todo el año,Media,Media,Bajo,Media,Bajas,Medio,No
Soya,Café,Redondo,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Snack,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Cacahuate,Blanco,Redondo,Fina,Semilla,Baja,Dulce,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Snack,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Quinua,Verde,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Chía,Café,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Sopa,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Sorgo,Verde,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Principal,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Centeno,Amarillo,Alargado,Fina,Grano,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Principal,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Cebada,Blanco,Alargado,Fina,Grano,Baja,Dulce,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Ensalada,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Masato,Rojo,Plano,Sin piel,Sin,Alta,Dulce,Medio,Alta,Cremoso,Bajo,Ambos,Solo,Snack,Frío,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Chicha,Verde,Plano,Sin piel,Sin,Alta,Umami,Medio,Media,Jugoso,Medio,Ambos,Solo,Snack,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Aromática,Café,Plano,Sin piel,Sin,Alta,Ácido,Medio,Alta,Jugoso,Bajo,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Agua de panela,Blanco,Plano,Sin piel,Sin,Alta,Ácido,Bajo,Baja,Cremoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Malteada de chocolate,Verde,Plano,Sin piel,Sin,Alta,Dulce,Alto,Baja,Cremoso,Medio,Ambos,Solo,Postre,Ambiente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Medio,Baja,Altas,Mínimo,No
Batido de banano,Rojo,Plano,Sin piel,Sin,Alta,Amargo,Medio,Media,Cremoso,Bajo,Ambos,Solo,Postre,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Limonada,Amarillo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Snack,Ambiente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de mora,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Alto,Alta,Cremoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Jugo de maracuyá,Rojo,Plano,Sin piel,Sin,Alta,Umami,Medio,Baja,Cremoso,Alto,Ambos,Solo,Jugo,Ambiente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Jugo de guayaba,Rojo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Kumis,Amarillo,Plano,Sin piel,Sin,Alta,Dulce,Alto,Media,Jugoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
