Clase,Color dominante,Forma,Piel/cáscara,Semillas/hueso,Jugosidad,Sabor dominante,Dulzor,Acidez,Textura,Aroma,Preparación típica,Consumo habitual,Plato frecuente,Temperatura de consumo,Parte comestible,Conservación,Vida útil,Estacionalidad,Sensibilidad al golpe,Facilidad de limpieza/pelado,Contenido de agua,Fibra,Grasas,Procesamiento,Piel comestible
Pepino,Blanco,Redondo,Fina,Sin,Media,Umami,Medio,Baja,Harinoso,Medio,Crudo,Acompañante,Jugo,Frío,Pulpa,Refrigerar,Corta,Todo el año,Media,Alta,Medio,Alta,Bajas,Mínimo,Sí
Pimentón,Blanco,Irregular,Fina,Sin,Media,Dulce,Bajo,Baja,Harinoso,Medio,Crudo,Solo,Postre,Frío,Pulpa,Ambiente,Corta,Todo el año,Media,Alta,Medio,Alta,Bajas,Mínimo,Sí
Ahuyama,Blanco,Irregular,Fina,Sin,Baja,Dulce,Medio,Baja,Harinoso,Medio,Crudo,Acompañante,Postre,Frío,Tallo,Ambiente,Corta,Estacional,Alta,Alta,Alto,Alta,Bajas,Mínimo,No
Papa,Verde,Irregular,Fina,Sin,Media,Dulce,Bajo,Baja,Harinoso,Medio,Cocido,En mezcla,Sopa,Caliente,Raíz,Ambiente,Larga,Todo el año,Media,Media,Bajo,Alta,Bajas,Medio,No
Yuca,Blanco,Redondo,Fina,Sin,Baja,Dulce,Bajo,Baja,Fibroso,Bajo,Cocido,Acompañante,Sopa,Caliente,Raíz,Ambiente,Larga,Todo el año,Media,Media,Bajo,Alta,Bajas,Medio,No
Arracacha,Café,Redondo,Fina,Sin,Media,Umami,Bajo,Media,Fibroso,Bajo,Cocido,Acompañante,Snack,Caliente,Semilla,Ambiente,Larga,Todo el año,Media,Media,Bajo,Media,Bajas,Medio,No
Batata,Verde,Alargado,Gruesa,Sin,Media,Dulce,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Grano,Ambiente,Larga,Todo el año,Media,Media,Bajo,Media,Bajas,Medio,No
Fríjol,Amarillo,Ovalado,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Snack,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Lenteja,Amarillo,Redondo,Fina,Semilla,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Snack,Caliente,Semilla,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Garbanzo,Blanco,Redondo,Fina,Semilla,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Snack,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Arveja,Amarillo,Ovalado,Fina,Semilla,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Snack,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Maíz,Café,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Arroz,Café,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Avena,Verde,Alargado,Fina,Grano,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Snack,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Trigo,Blanco,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Ensalada,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Cereal,Blanco,Alargado,Fina,Grano,Baja,Dulce,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Ensalada,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Café,Café,Plano,Sin piel,Sin,Alta,Dulce,Bajo,Baja,Jugoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Chocolate,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Bajo,Media,Cremoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de naranja,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Alto,Baja,Cremoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Jugo de lulo,Verde,Plano,Sin piel,Sin,Alta,Umami,Medio,Alta,Jugoso,Medio,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Jugo de mango,Café,Plano,Sin piel,Sin,Alta,Ácido,Medio,Alta,Jugoso,Bajo,Ambos,Solo,Jugo,Caliente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Agua,Blanco,Plano,Sin piel,Sin,Alta,Ácido,Bajo,Baja,Cremoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Té,Verde,Plano,Sin piel,Sin,Alta,Dulce,Alto,Baja,Cremoso,Medio,Ambos,Solo,Snack,Ambiente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Leche,Rojo,Plano,Sin piel,Sin,Alta,Amargo,Medio,Media,Cremoso,Bajo,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Medio,Baja,Bajas,Medio,No
Yogur,Amarillo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Postre,Ambiente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Medio,Baja,Altas,Alto,No
Queso,Verde,Plano,Sin piel,Sin,Alta,Dulce,Alto,Media,Cremoso,Bajo,Ambos,Solo,Snack,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Huevo,Verde,Alargado,Sin piel,Sin,Media,Dulce,Bajo,Media,Harinoso,Bajo,Cocido,Solo,Postre,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Media,Alto,Baja,Bajas,Alto,No
Arepa,Verde,Plano,Sin piel,Sin,Media,Salado,Medio,Media,Fibroso,Bajo,Cocido,Solo,Postre,Caliente,Grano,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Medias,Alto,No
Pan,Verde,Plano,Sin piel,Sin,Media,Dulce,Bajo,Media,Harinoso,Medio,Cocido,Solo,Principal,Caliente,Grano,Ambiente,Media,Todo el año,Baja,Media,Alto,Baja,Medias,Medio,No
Empanada,Blanco,Redondo,Sin piel,Sin,Media,Salado,Medio,Media,Cremoso,Medio,Cocido,Solo,Ensalada,Caliente,Grano,Ambiente,Media,Todo el año,Media,Alta,Alto,Media,Medias,Alto,No
Sopa de verduras,Rojo,Redondo,Sin piel,Sin,Baja,Dulce,Medio,Baja,Harinoso,Medio,Cocido,Acompañante,Snack,Ambiente,Pulpa,Ambiente,Media,Todo el año,Baja,Media,Medio,Baja,Bajas,Alto,No
Ensalada,Café,Redondo,Sin piel,Sin,Baja,Dulce,Bajo,Baja,Harinoso,Medio,Cocido,Solo,Sopa,Ambiente,Grano,Refrigerar,Media,Todo el año,Media,Media,Alto,Baja,Medias,Medio,No
Miel,Amarillo,Irregular,Sin piel,Sin,Baja,Salado,Alto,Baja,Harinoso,Medio,Cocido,Solo,Snack,Ambiente,Pulpa,Refrigerar,Media,Todo el año,Baja,Media,Medio,Baja,Altas,Medio,No
Aceite,Rojo,Plano,Sin piel,Sin,Baja,Salado,Alto,Baja,Fibroso,Medio,Cocido,Acompañante,Principal,Caliente,Líquido,Refrigerar,Media,Todo el año,Media,Media,Alto,Media,Medias,Alto,No
Aguardiente sin azúcar,Rojo,Plano,Sin piel,Sin,Alta,Dulce,Bajo,Media,Jugoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Yuca frita,Blanco,Irregular,Sin piel,Sin,Baja,Salado,Alto,Baja,Harinoso,Alto,Cocido,Solo,Principal,Ambiente,Semilla,Ambiente,Media,Todo el año,Baja,Alta,Medio,Baja,Altas,Medio,No
Tamarindo,Amarillo,Redondo,Fina,Pequeñas,Media,Ácido,Alto,Baja,Fibroso,Alto,Crudo,Solo,Ensalada,Frío,Pulpa,Ambiente,Corta,Todo el año,Media,Media,Alto,Media,Bajas,Mínimo,Sí
Oca,Blanco,Irregular,Gruesa,Sin,Media,Umami,Medio,Media,Crujiente,Bajo,Cocido,Acompañante,Ensalada,Caliente,Semilla,Ambiente,Larga,Todo el año,Media,Media,Bajo,Alta,Bajas,Medio,No
Limonada,Rojo,Plano,Sin piel,Sin,Alta,Umami,Bajo,Alta,Jugoso,Bajo,Ambos,Solo,Snack,Frío,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Batido de Lulo,Amarillo,Plano,Sin piel,Sin,Alta,Amargo,Alto,Baja,Cremoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Queso cheddar,Verde,Plano,Sin piel,Sin,Alta,Ácido,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Snack,Ambiente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Crema de champiñones,Verde,Redondo,Sin piel,Sin,Media,Salado,Medio,Baja,Fibroso,Bajo,Cocido,Solo,Sopa,Ambiente,Pulpa,Ambiente,Media,Todo el año,Baja,Alta,Alto,Media,Altas,Alto,No
Batido de vainilla,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Alto,Media,Jugoso,Bajo,Ambos,Solo,Snack,Frío,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Jugo de Melón,Café,Plano,Sin piel,Sin,Alta,Dulce,Medio,Media,Jugoso,Bajo,Ambos,Solo,Jugo,Ambiente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Jugo de maracuyá con naranja,Amarillo,Plano,Sin piel,Sin,Alta,Amargo,Alto,Baja,Cremoso,Medio,Ambos,Solo,Jugo,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Dragonfruit,Naranja,Redondo,Gruesa,Hueso,Media,Dulce,Medio,Media,Jugoso,Alto,Crudo,Solo,Jugo,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Alta,Media,Alto,Alta,Bajas,Mínimo,No
Pan francés,Rojo,Alargado,Sin piel,Sin,Media,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,Acompañante,Postre,Ambiente,Pulpa,Refrigerar,Media,Todo el año,Baja,Media,Alto,Baja,Bajas,Alto,No
Tamal tolimense,Verde,Plano,Sin piel,Sin,Baja,Salado,Bajo,Baja,Crujiente,Medio,Cocido,Solo,Principal,Ambiente,Líquido,Ambiente,Media,Todo el año,Media,Media,Alto,Media,Altas,Medio,No
Pomelo,Naranja,Ovalado,Fina,Sin,Alta,Ácido,Alto,Media,Fibroso,Alto,Crudo,Acompañante,Ensalada,Ambiente,Pulpa,Refrigerar,Corta,Estacional,Alta,Alta,Alto,Media,Bajas,Mínimo,No
Nectarina,Rojo,Alargado,Fina,Muchas pequeñas,Media,Ácido,Medio,Media,Fibroso,Medio,Crudo,Solo,Snack,Frío,Pulpa,Refrigerar,Corta,Todo el año,Media,Alta,Alto,Media,Bajas,Mínimo,Sí
Queso parmesano,Amarillo,Plano,Sin piel,Sin,Alta,Amargo,Medio,Media,Cremoso,Medio,Ambos,Solo,Snack,Ambiente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Coliflor,Blanco,Redondo,Fina,Sin,Baja,Dulce,Medio,Baja,Crujiente,Medio,Crudo,En mezcla,Jugo,Frío,Pulpa,Ambiente,Corta,Estacional,Media,Alta,Medio,Alta,Bajas,Mínimo,Sí
Cebada,Verde,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Harinoso,Bajo,Cocido,Acompañante,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Media,Bajas,Medio,No
Jugo de Carambolo,Verde,Plano,Sin piel,Sin,Alta,Amargo,Bajo,Baja,Cremoso,Alto,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de Guanábana,Verde,Plano,Sin piel,Sin,Alta,Dulce,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de fresa con banano,Amarillo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Media,Jugoso,Alto,Ambos,Solo,Jugo,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Borojó,Rojo,Redondo,Gruesa,Hueso,Alta,Dulce,Alto,Media,Jugoso,Alto,Crudo,Solo,Snack,Ambiente,Pulpa,Refrigerar,Corta,Todo el año,Media,Media,Alto,Media,Bajas,Mínimo,Sí
Grosella,Verde,Redondo,Gruesa,Muchas pequeñas,Alta,Ácido,Medio,Alta,Fibroso,Alto,Crudo,En mezcla,Snack,Frío,Pulpa,Refrigerar,Corta,Todo el año,Media,Alta,Alto,Alta,Bajas,Mínimo,No
Crema de espinaca,Amarillo,Redondo,Sin piel,Sin,Media,Salado,Medio,Media,Crujiente,Medio,Cocido,Solo,Sopa,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Medio,Media,Medias,Medio,No
Jugo de Manzana,Amarillo,Plano,Sin piel,Sin,Alta,Umami,Bajo,Media,Cremoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de Granadilla,Verde,Plano,Sin piel,Sin,Alta,Dulce,Medio,Alta,Cremoso,Medio,Ambos,Solo,Jugo,Caliente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Jugo de Durazno,Rojo,Plano,Sin piel,Sin,Alta,Ácido,Medio,Alta,Cremoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Limonada de coco,Café,Plano,Sin piel,Sin,Alta,Umami,Medio,Alta,Cremoso,Alto,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Col rizada,Verde,Irregular,Gruesa,Sin,Baja,Umami,Medio,Media,Harinoso,Medio,Crudo,En mezcla,Snack,Frío,Hoja,Refrigerar,Corta,Estacional,Media,Alta,Medio,Alta,Bajas,Mínimo,No
Portobello,Verde,Irregular,Fina,Sin,Media,Dulce,Medio,Media,Harinoso,Medio,Crudo,Solo,Snack,Frío,Tallo,Ambiente,Corta,Estacional,Media,Alta,Medio,Alta,Bajas,Mínimo,No
Jugo de Pera,Blanco,Plano,Sin piel,Sin,Alta,Ácido,Bajo,Baja,Cremoso,Medio,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Arepa de huevo,Rojo,Plano,Sin piel,Sin,Media,Salado,Alto,Media,Fibroso,Medio,Cocido,Acompañante,Postre,Ambiente,Grano,Ambiente,Media,Todo el año,Baja,Media,Medio,Baja,Altas,Alto,No
Sancocho,Café,Alargado,Sin piel,Sin,Media,Salado,Bajo,Baja,Fibroso,Alto,Cocido,Solo,Principal,Ambiente,Líquido,Refrigerar,Media,Todo el año,Baja,Alta,Medio,Media,Altas,Medio,No
Limonada de hierbabuena,Amarillo,Plano,Sin piel,Sin,Alta,Dulce,Bajo,Baja,Jugoso,Medio,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Sorgo,Café,Alargado,Fina,Grano,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Ensalada,Caliente,Raíz,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Changua,Blanco,Plano,Sin piel,Sin,Media,Umami,Alto,Media,Fibroso,Bajo,Cocido,Solo,Ensalada,Caliente,Grano,Ambiente,Media,Todo el año,Media,Media,Medio,Baja,Altas,Medio,No
Centeno,Amarillo,Alargado,Fina,Grano,Baja,Dulce,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Sopa,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Níspero,Verde,Ovalado,Fina,Muchas pequeñas,Alta,Dulce,Medio,Media,Harinoso,Alto,Crudo,Acompañante,Snack,Ambiente,Pulpa,Ambiente,Corta,Estacional,Alta,Media,Alto,Alta,Bajas,Mínimo,No
Jugo mixto tropical,Rojo,Plano,Sin piel,Sin,Alta,Ácido,Alto,Baja,Jugoso,Alto,Ambos,Solo,Jugo,Frío,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Lechona,Blanco,Redondo,Sin piel,Sin,Media,Dulce,Alto,Baja,Fibroso,Medio,Cocido,Solo,Sopa,Ambiente,Líquido,Ambiente,Media,Todo el año,Media,Alta,Alto,Media,Medias,Alto,No
Capuchino,Verde,Plano,Sin piel,Sin,Alta,Amargo,Bajo,Alta,Cremoso,Bajo,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Empanada de carne,Café,Plano,Sin piel,Sin,Media,Umami,Medio,Media,Fibroso,Medio,Cocido,Acompañante,Snack,Ambiente,Grano,Ambiente,Media,Todo el año,Media,Media,Alto,Media,Medias,Medio,No
Pera asiática,Naranja,Alargado,Gruesa,Hueso,Alta,Ácido,Medio,Alta,Harinoso,Alto,Crudo,Solo,Ensalada,Frío,Pulpa,Ambiente,Corta,Todo el año,Media,Media,Alto,Media,Bajas,Mínimo,Sí
Jugo de Fresa,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Alto,Alta,Jugoso,Bajo,Ambos,Solo,Jugo,Ambiente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Medio,No
Arroz atollado,Blanco,Alargado,Sin piel,Sin,Media,Salado,Medio,Media,Cremoso,Bajo,Cocido,Solo,Ensalada,Ambiente,Semilla,Refrigerar,Media,Todo el año,Media,Alta,Alto,Media,Medias,Medio,No
Albóndigas,Café,Redondo,Sin piel,Sin,Media,Dulce,Medio,Baja,Harinoso,Bajo,Cocido,Acompañante,Principal,Ambiente,Grano,Refrigerar,Media,Todo el año,Baja,Alta,Alto,Media,Altas,Alto,No
Arepa de choclo,Amarillo,Alargado,Sin piel,Sin,Media,Dulce,Alto,Media,Harinoso,Bajo,Cocido,Acompañante,Ensalada,Caliente,Líquido,Ambiente,Media,Todo el año,Media,Alta,Medio,Media,Bajas,Medio,No
Jugo de Guayaba agria,Café,Plano,Sin piel,Sin,Alta,Amargo,Alto,Media,Cremoso,Bajo,Ambos,Solo,Jugo,Frío,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Jugo de Banano,Blanco,Plano,Sin piel,Sin,Alta,Amargo,Medio,Baja,Cremoso,Bajo,Ambos,Solo,Jugo,Ambiente,Líquido,Refrigerar,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Queso mozzarella,Verde,Plano,Sin piel,Sin,Alta,Dulce,Alto,Alta,Cremoso,Bajo,Ambos,Solo,Snack,Caliente,Líquido,Ambiente,Media,Todo el año,Baja,Alta,Alto,Baja,Bajas,Mínimo,No
Queso feta,Blanco,Plano,Sin piel,Sin,Alta,Umami,Alto,Media,Cremoso,Medio,Ambos,Solo,Snack,Ambiente,Líquido,Ambiente,Larga,Todo el año,Baja,Alta,Alto,Baja,Bajas,Alto,No
Guandul,Blanco,Redondo,Fina,Semilla,Baja,Umami,Bajo,Baja,Cremoso,Bajo,Cocido,En mezcla,Principal,Caliente,Grano,Ambiente,Larga,Todo el año,Baja,Alta,Bajo,Alta,Bajas,Medio,No
Salchipapa,Rojo,Plano,Sin piel,Sin,Baja,Salado,Bajo,Media,Fibroso,Bajo,Cocido,Acompañante,Sopa,Caliente,Semilla,Refrigerar,Media,Todo el año,Baja,Media,Alto,Baja,Bajas,Alto,No
